;id;eng;fra;esp;lang1;lang2
142;Point-15;Worse by more than 15 points;;;Legalább 15-el kevesebb;
143;Point-5;Worse by 5-15 points;;;5-15 ponttal kevesebb;
144;Point-5+5;Score between -5 and +5 points;;;Legfeljebb 5 ponttal tér el;
145;Point+5;Better by 5-15 points;;;5-15 ponttal magasabb;
146;Point+15;Better by more than 15 points;;;Legalább 15-el magasabb;
147;CompareYears; Compare to another year;;;Időbeli összehasonlítás;
148;BaseYear; Base year;;;Bázisév;
149;MainWeb; Back to KFIB webpage;;;Vissza a KFIB honlapjára;
150;ResultYear; Presented year;;;Felmérés éve;
151;ComparisonType; Comparison type;;;Összehasonlítás típusa;
152;scoreoldtext; Base year's score;;;Bázisév pontszáma;
